customer_id,amount,cause,attempts,days_since_failure,past_rate,action_type,recovered
CUST_00048,1549.52,bank_declined,0,0,0.261,alt_method,0
CUST_00049,875.59,network_error,1,14,0.32,retry,1
CUST_00050,162.32,insufficient_funds,3,2,0.739,retry,0
CUST_00051,862.01,network_error,3,2,0.649,alt_method,0
CUST_00052,488.79,network_error,0,14,0.405,payment_link,0
CUST_00053,387.01,bank_declined,3,11,0.686,retry,0
CUST_00054,1085.01,network_error,2,6,0.794,payment_link,1
CUST_00055,1517.47,bank_declined,1,0,0.81,alt_method,0
CUST_00056,1401.12,insufficient_funds,1,8,0.237,payment_link,0
CUST_00057,339.89,network_error,3,10,0.539,retry,0
CUST_00058,519.38,insufficient_funds,3,5,0.188,payment_link,0
CUST_00059,866.98,network_error,2,3,0.332,alt_method,1
CUST_00060,1451.62,network_error,2,2,0.476,retry,0
CUST_00061,453.35,bank_declined,3,14,0.63,retry,0
CUST_00062,573.34,network_error,3,2,0.43,payment_link,0
CUST_00063,274.49,bank_declined,2,1,0.726,payment_link,0
CUST_00064,255.45,network_error,0,1,0.613,retry,1
CUST_00065,1274.13,network_error,2,13,0.516,retry,1
CUST_00066,1968.43,bank_declined,0,11,0.599,retry,0
CUST_00067,627.91,insufficient_funds,1,12,0.791,retry,0
CUST_00068,1484.49,network_error,1,9,0.351,retry,1
CUST_00069,888.3,insufficient_funds,2,4,0.559,payment_link,0
CUST_00070,396.99,network_error,0,8,0.718,payment_link,0
CUST_00071,888.13,bank_declined,2,1,0.693,payment_link,0
CUST_00072,2276.58,insufficient_funds,2,1,0.611,payment_link,0
CUST_00073,646.35,bank_declined,0,11,0.484,retry,0
CUST_00074,2325.56,card_declined,2,5,0.508,payment_link,1
CUST_00075,100.0,insufficient_funds,1,12,0.65,retry,0
CUST_00076,1283.73,card_declined,3,14,0.83,retry,0
CUST_00077,713.11,insufficient_funds,3,9,0.478,retry,0
CUST_00078,523.63,card_declined,2,1,0.635,alt_method,0
CUST_00079,715.81,network_error,0,11,0.571,retry,0
CUST_00080,135.63,bank_declined,0,3,0.749,alt_method,0
CUST_00081,557.95,insufficient_funds,1,5,0.705,retry,1
CUST_00082,885.09,insufficient_funds,0,4,0.737,payment_link,1
CUST_00083,2169.64,bank_declined,0,0,0.389,alt_method,0
CUST_00084,439.39,bank_declined,1,14,0.801,retry,0
CUST_00085,348.35,network_error,2,5,0.238,retry,0
CUST_00086,445.23,network_error,3,0,0.541,alt_method,0
CUST_00087,1383.43,bank_declined,1,2,0.309,payment_link,0
CUST_00088,865.23,bank_declined,2,9,0.642,retry,0
CUST_00089,435.37,card_declined,1,4,0.497,retry,0
CUST_00090,1002.86,bank_declined,2,13,0.524,alt_method,0
CUST_00091,718.86,card_declined,1,9,0.475,alt_method,1
CUST_00092,1443.63,bank_declined,2,12,0.387,payment_link,0
CUST_00093,379.31,network_error,1,4,0.431,retry,1
CUST_00094,511.77,network_error,2,12,0.683,alt_method,0
CUST_00095,486.05,bank_declined,1,9,0.73,retry,0
CUST_00096,206.27,bank_declined,3,5,0.351,payment_link,0
CUST_00097,842.94,network_error,3,14,0.931,payment_link,0
CUST_00098,819.62,insufficient_funds,0,11,0.865,retry,0
CUST_00099,667.87,card_declined,2,9,0.47,payment_link,0
CUST_00100,551.33,insufficient_funds,1,7,0.552,alt_method,1
CUST_00101,214.37,insufficient_funds,2,4,0.351,alt_method,0
CUST_00102,475.08,insufficient_funds,3,13,0.281,retry,0
CUST_00103,505.64,network_error,2,14,0.757,retry,0
CUST_00104,350.09,insufficient_funds,1,10,0.621,retry,0
CUST_00105,584.63,insufficient_funds,2,0,0.857,retry,0
CUST_00106,918.96,network_error,1,4,0.574,payment_link,1
CUST_00107,3007.75,bank_declined,3,2,0.349,payment_link,0
CUST_00108,764.84,insufficient_funds,3,3,0.438,retry,0
CUST_00109,817.33,bank_declined,3,14,0.445,retry,0
CUST_00110,626.68,card_declined,0,14,0.693,retry,0
CUST_00111,143.31,network_error,3,12,0.474,payment_link,0
CUST_00112,651.18,bank_declined,2,7,0.578,payment_link,0
CUST_00113,697.98,insufficient_funds,0,6,0.487,payment_link,0
CUST_00114,4772.35,card_declined,3,10,0.444,alt_method,0
CUST_00115,570.27,network_error,2,4,0.309,alt_method,0
CUST_00116,846.61,bank_declined,2,1,0.301,payment_link,0
CUST_00117,646.93,bank_declined,2,5,0.803,retry,0
CUST_00118,261.14,network_error,1,10,0.145,payment_link,0
CUST_00119,1659.48,network_error,0,5,0.703,retry,1
CUST_00120,1213.84,bank_declined,2,9,0.366,retry,0
CUST_00121,1252.41,bank_declined,1,9,0.257,alt_method,0
CUST_00122,321.34,insufficient_funds,3,13,0.857,retry,0
CUST_00123,2043.12,bank_declined,2,10,0.582,payment_link,0
CUST_00124,216.7,insufficient_funds,1,5,0.681,payment_link,0
CUST_00125,1063.68,bank_declined,2,13,0.458,retry,0
CUST_00126,3836.69,network_error,0,8,0.798,retry,0
CUST_00127,301.14,card_declined,0,10,0.849,payment_link,0
CUST_00128,422.83,network_error,3,7,0.669,retry,0
CUST_00129,720.34,insufficient_funds,2,7,0.514,retry,1
CUST_00130,444.62,network_error,1,0,0.623,alt_method,0
CUST_00131,192.38,network_error,3,4,0.632,payment_link,0
CUST_00132,702.64,insufficient_funds,2,6,0.624,retry,1
CUST_00133,284.34,network_error,3,5,0.697,retry,1
CUST_00134,971.53,bank_declined,1,4,0.385,payment_link,0
CUST_00135,318.77,network_error,3,7,0.644,retry,0
CUST_00136,2298.35,insufficient_funds,3,2,0.933,retry,0
CUST_00137,355.45,insufficient_funds,3,5,0.739,payment_link,0
CUST_00138,514.07,network_error,2,14,0.462,retry,0
CUST_00139,1275.14,network_error,1,4,0.76,payment_link,0
CUST_00140,248.47,insufficient_funds,0,7,0.516,payment_link,0
CUST_00141,797.89,insufficient_funds,2,3,0.701,retry,1
CUST_00142,1892.61,insufficient_funds,0,7,0.688,retry,1
CUST_00143,183.83,insufficient_funds,0,9,0.446,payment_link,0
CUST_00144,771.01,insufficient_funds,2,13,0.633,payment_link,0
CUST_00145,818.85,network_error,2,14,0.717,retry,0
CUST_00146,1243.22,insufficient_funds,1,1,0.878,retry,0
CUST_00147,247.26,card_declined,1,8,0.697,alt_method,1
CUST_00148,231.28,insufficient_funds,3,12,0.724,retry,0
CUST_00149,1009.85,bank_declined,0,8,0.688,alt_method,1
CUST_00150,843.52,insufficient_funds,1,14,0.533,retry,1
CUST_00151,812.73,bank_declined,3,13,0.301,retry,0
CUST_00152,877.57,bank_declined,1,9,0.644,payment_link,0
CUST_00153,386.06,insufficient_funds,2,9,0.293,retry,0
CUST_00154,800.95,card_declined,1,12,0.383,retry,0
CUST_00155,840.89,network_error,0,5,0.665,retry,0
CUST_00156,375.6,network_error,1,3,0.67,alt_method,0
CUST_00157,2959.04,bank_declined,0,3,0.828,retry,0
CUST_00158,971.72,bank_declined,2,12,0.512,payment_link,0
CUST_00159,256.46,network_error,0,5,0.912,alt_method,0
CUST_00160,1124.67,network_error,1,4,0.709,alt_method,0
CUST_00161,304.98,network_error,3,5,0.357,payment_link,0
CUST_00162,1248.46,network_error,2,6,0.668,retry,0
CUST_00163,1680.55,bank_declined,1,6,0.541,retry,0
CUST_00164,344.97,insufficient_funds,2,8,0.283,retry,0
CUST_00165,1437.56,insufficient_funds,2,7,0.882,retry,0
CUST_00166,925.4,insufficient_funds,1,12,0.635,retry,1
CUST_00167,1283.89,network_error,1,5,0.361,retry,1
CUST_00168,3033.38,network_error,3,11,0.859,alt_method,1
CUST_00169,546.58,bank_declined,2,5,0.345,alt_method,0
CUST_00170,363.95,card_declined,2,14,0.59,retry,0
CUST_00171,326.49,bank_declined,1,13,0.611,retry,0
CUST_00172,346.32,network_error,0,4,0.581,retry,0
CUST_00173,625.35,card_declined,1,0,0.485,retry,0
CUST_00174,873.86,bank_declined,2,8,0.584,retry,0
CUST_00175,829.94,bank_declined,1,8,0.664,alt_method,0
CUST_00176,1289.16,insufficient_funds,3,8,0.695,retry,0
CUST_00177,672.1,insufficient_funds,0,14,0.64,retry,1
CUST_00178,2127.76,insufficient_funds,1,10,0.736,retry,1
CUST_00179,538.22,network_error,3,7,0.56,alt_method,1
CUST_00180,5861.35,network_error,2,12,0.759,alt_method,0
CUST_00181,1097.22,network_error,1,9,0.685,alt_method,0
CUST_00182,335.05,insufficient_funds,2,12,0.516,payment_link,1
CUST_00183,282.39,bank_declined,3,2,0.413,retry,0
CUST_00184,978.46,insufficient_funds,2,0,0.497,retry,0
CUST_00185,556.26,network_error,3,10,0.47,payment_link,0
CUST_00186,1177.56,card_declined,3,11,0.606,alt_method,0
CUST_00187,971.26,card_declined,3,11,0.403,retry,0
CUST_00188,627.5,bank_declined,1,7,0.524,retry,0
CUST_00189,337.84,card_declined,2,6,0.413,payment_link,0
CUST_00190,197.97,insufficient_funds,2,12,0.541,retry,0
CUST_00191,465.35,card_declined,0,4,0.745,payment_link,1
CUST_00192,1319.65,network_error,0,9,0.663,retry,0
CUST_00193,789.4,insufficient_funds,0,6,0.609,retry,0
CUST_00194,245.53,network_error,0,9,0.878,payment_link,0
CUST_00195,763.98,network_error,2,3,0.531,alt_method,0
CUST_00196,905.29,network_error,3,8,0.343,retry,0
CUST_00197,327.97,bank_declined,3,10,0.469,retry,1
CUST_00198,752.18,bank_declined,1,9,0.64,retry,0
CUST_00199,696.85,insufficient_funds,3,13,0.765,payment_link,0
CUST_00200,266.57,network_error,2,1,0.593,alt_method,1
CUST_00201,885.57,bank_declined,2,8,0.882,retry,0
CUST_00202,1041.72,bank_declined,2,8,0.598,retry,0
CUST_00203,1581.99,insufficient_funds,1,4,0.798,alt_method,0
CUST_00204,1545.41,bank_declined,0,10,0.491,alt_method,0
CUST_00205,220.93,network_error,3,0,0.761,payment_link,1
CUST_00206,314.11,insufficient_funds,2,6,0.698,retry,0
CUST_00207,1004.28,card_declined,2,9,0.482,retry,0
CUST_00208,1003.28,network_error,0,9,0.866,alt_method,1
CUST_00209,1004.29,insufficient_funds,2,3,0.722,payment_link,0
CUST_00210,10000.0,card_declined,3,8,0.767,payment_link,0
CUST_00211,1050.18,bank_declined,1,5,0.731,retry,0
CUST_00212,1649.87,network_error,2,12,0.625,payment_link,0
CUST_00213,1426.82,network_error,3,2,0.484,alt_method,0
CUST_00214,1120.03,network_error,2,5,0.526,alt_method,0
CUST_00215,516.87,bank_declined,0,12,0.517,retry,0
CUST_00216,1220.69,insufficient_funds,2,9,0.63,payment_link,0
CUST_00217,358.43,network_error,2,5,0.763,payment_link,0
CUST_00218,550.34,card_declined,1,4,0.709,alt_method,1
CUST_00219,451.11,insufficient_funds,0,1,0.32,alt_method,0
CUST_00220,710.17,network_error,0,9,0.773,alt_method,1
CUST_00221,4237.49,insufficient_funds,1,9,0.504,alt_method,0
CUST_00222,149.33,bank_declined,2,1,0.27,retry,0
CUST_00223,1151.72,network_error,3,6,0.568,alt_method,0
CUST_00224,183.06,network_error,0,1,0.396,payment_link,1
CUST_00225,455.98,bank_declined,0,11,0.65,retry,0
CUST_00226,1589.48,insufficient_funds,2,5,0.39,retry,0
CUST_00227,700.24,insufficient_funds,2,4,0.41,retry,0
CUST_00228,280.85,insufficient_funds,0,3,0.543,alt_method,0
CUST_00229,375.31,network_error,2,6,0.349,retry,0
CUST_00230,1145.59,network_error,3,7,0.567,alt_method,0
CUST_00231,370.82,insufficient_funds,0,3,0.524,payment_link,1
CUST_00232,790.9,network_error,3,0,0.646,payment_link,0
CUST_00233,689.84,network_error,3,0,0.309,retry,0
CUST_00234,394.93,bank_declined,2,0,0.231,payment_link,0
CUST_00235,3696.55,card_declined,3,10,0.646,payment_link,0
CUST_00236,1104.49,bank_declined,2,0,0.657,retry,0
CUST_00237,131.62,card_declined,1,4,0.416,alt_method,1
CUST_00238,772.14,network_error,2,3,0.801,payment_link,1
CUST_00239,391.73,card_declined,3,12,0.319,retry,0
CUST_00240,1315.47,network_error,1,13,0.755,alt_method,0
CUST_00241,352.83,card_declined,2,8,0.22,retry,0
CUST_00242,606.81,card_declined,3,14,0.719,payment_link,0
CUST_00243,996.24,bank_declined,0,2,0.761,payment_link,1
CUST_00244,1329.56,card_declined,0,13,0.148,retry,0
CUST_00245,254.62,insufficient_funds,2,6,0.315,payment_link,0
CUST_00246,508.98,network_error,2,10,0.702,payment_link,0
CUST_00247,454.88,insufficient_funds,0,7,0.58,payment_link,0
CUST_00248,394.39,insufficient_funds,3,5,0.812,retry,0
CUST_00249,2730.84,network_error,3,11,0.653,retry,0
CUST_00250,919.64,bank_declined,3,12,0.372,retry,0
CUST_00251,242.57,card_declined,2,9,0.844,alt_method,0
CUST_00252,1386.16,network_error,1,12,0.779,retry,1
CUST_00253,3632.68,bank_declined,1,0,0.502,payment_link,0
CUST_00254,1519.25,card_declined,1,7,0.663,alt_method,0
CUST_00255,197.26,card_declined,1,14,0.537,alt_method,0
CUST_00256,451.52,card_declined,1,9,0.704,alt_method,0
CUST_00257,1832.67,insufficient_funds,2,2,0.72,alt_method,0
CUST_00258,377.61,card_declined,2,7,0.163,retry,0
CUST_00259,948.66,bank_declined,1,11,0.251,retry,0
CUST_00260,1236.09,network_error,2,3,0.285,retry,0
CUST_00261,316.86,insufficient_funds,2,7,0.426,retry,0
CUST_00262,634.21,bank_declined,1,10,0.782,payment_link,0
CUST_00263,100.0,network_error,3,0,0.361,retry,1
CUST_00264,293.09,bank_declined,2,2,0.724,alt_method,0
CUST_00265,543.45,bank_declined,3,5,0.938,retry,0
CUST_00266,245.13,network_error,2,14,0.41,retry,0
CUST_00267,2455.12,insufficient_funds,2,14,0.685,payment_link,0
CUST_00268,211.85,bank_declined,1,8,0.636,retry,0
CUST_00269,467.76,insufficient_funds,2,1,0.461,alt_method,0
CUST_00270,738.48,network_error,0,10,0.903,alt_method,0
CUST_00271,2107.0,network_error,0,0,0.694,alt_method,1
CUST_00272,210.88,insufficient_funds,1,14,0.47,retry,1
CUST_00273,1686.7,card_declined,3,9,0.856,alt_method,0
CUST_00274,670.61,network_error,3,2,0.594,retry,1
CUST_00275,303.32,bank_declined,3,3,0.382,alt_method,0
CUST_00276,962.64,network_error,0,10,0.266,retry,0
CUST_00277,779.96,insufficient_funds,3,4,0.453,retry,0
CUST_00278,411.51,bank_declined,3,2,0.529,alt_method,0
CUST_00279,703.34,bank_declined,1,12,0.459,retry,0
CUST_00280,488.7,network_error,3,9,0.499,alt_method,0
CUST_00281,728.37,insufficient_funds,0,10,0.389,retry,1
CUST_00282,1129.7,network_error,0,1,0.501,alt_method,0
CUST_00283,2365.66,insufficient_funds,0,1,0.755,alt_method,1
CUST_00284,247.09,bank_declined,1,6,0.622,payment_link,0
CUST_00285,3664.42,network_error,1,8,0.523,payment_link,0
CUST_00286,139.54,network_error,2,9,0.615,payment_link,0
CUST_00287,589.09,insufficient_funds,3,1,0.825,alt_method,0
CUST_00288,1064.92,card_declined,1,6,0.318,retry,0
CUST_00289,832.8,card_declined,0,6,0.831,payment_link,0
CUST_00290,404.17,network_error,0,10,0.591,retry,0
CUST_00291,563.13,bank_declined,1,6,0.551,retry,0
CUST_00292,448.36,insufficient_funds,1,2,0.351,retry,1
CUST_00293,415.1,insufficient_funds,1,11,0.766,payment_link,0
CUST_00294,1312.49,bank_declined,2,6,0.57,alt_method,0
CUST_00295,885.02,card_declined,0,0,0.545,retry,0
CUST_00296,382.1,card_declined,2,9,0.803,payment_link,0
CUST_00297,1366.05,insufficient_funds,2,0,0.589,payment_link,0
CUST_00298,850.51,insufficient_funds,3,4,0.598,payment_link,0
CUST_00299,1274.48,bank_declined,0,14,0.594,alt_method,0
CUST_00300,1100.7,network_error,0,1,0.487,retry,1
CUST_00301,342.68,insufficient_funds,1,8,0.765,retry,0
CUST_00302,424.9,insufficient_funds,1,14,0.624,retry,1
CUST_00303,1209.35,bank_declined,3,6,0.522,alt_method,1
CUST_00304,1083.87,network_error,2,3,0.282,alt_method,0
CUST_00305,654.11,network_error,1,3,0.778,retry,0
CUST_00306,730.6,card_declined,1,1,0.539,retry,1
CUST_00307,1848.5,network_error,0,4,0.859,payment_link,0
CUST_00308,414.36,insufficient_funds,0,3,0.676,alt_method,1
CUST_00309,1030.37,network_error,1,11,0.734,payment_link,1
CUST_00310,565.8,network_error,0,12,0.476,alt_method,0
CUST_00311,558.84,network_error,3,0,0.721,alt_method,0
CUST_00312,1602.02,network_error,1,11,0.724,alt_method,1
CUST_00313,1287.34,card_declined,0,7,0.59,payment_link,0
CUST_00314,1275.14,network_error,3,2,0.448,retry,0
CUST_00315,1890.1,card_declined,0,13,0.343,alt_method,0
CUST_00316,676.41,insufficient_funds,0,5,0.446,payment_link,0
CUST_00317,1147.75,insufficient_funds,0,3,0.421,retry,1
CUST_00318,518.94,insufficient_funds,1,8,0.192,retry,0
CUST_00319,862.07,insufficient_funds,2,6,0.308,payment_link,0
CUST_00320,599.37,bank_declined,0,8,0.287,payment_link,0
CUST_00321,718.81,network_error,3,9,0.653,payment_link,0
CUST_00322,1070.76,insufficient_funds,1,2,0.404,retry,0
CUST_00323,345.65,card_declined,1,0,0.419,payment_link,0
CUST_00324,3547.19,card_declined,3,4,0.835,retry,0
CUST_00325,297.43,card_declined,0,2,0.493,payment_link,0
CUST_00326,251.8,insufficient_funds,2,5,0.367,payment_link,0
CUST_00327,1679.9,bank_declined,0,7,0.295,alt_method,0
CUST_00328,1253.04,insufficient_funds,3,10,0.737,alt_method,0
CUST_00329,1095.86,insufficient_funds,1,12,0.535,alt_method,0
CUST_00330,1099.57,network_error,2,3,0.322,alt_method,1
CUST_00331,658.66,insufficient_funds,1,4,0.362,payment_link,0
CUST_00332,324.47,network_error,3,4,0.891,retry,1
CUST_00333,706.73,insufficient_funds,0,3,0.452,payment_link,0
CUST_00334,386.94,card_declined,2,3,0.806,payment_link,0
CUST_00335,1451.13,network_error,1,3,0.486,payment_link,0
CUST_00336,591.32,network_error,1,3,0.679,retry,0
CUST_00337,343.64,network_error,1,3,0.73,alt_method,1
CUST_00338,514.34,card_declined,0,4,0.613,retry,1
CUST_00339,925.51,insufficient_funds,2,1,0.76,retry,0
CUST_00340,423.7,insufficient_funds,0,1,0.695,alt_method,0
CUST_00341,344.54,bank_declined,0,8,0.647,alt_method,0
CUST_00342,808.31,bank_declined,0,1,0.51,retry,0
CUST_00343,809.14,insufficient_funds,3,5,0.365,alt_method,0
CUST_00344,443.39,bank_declined,3,1,0.312,retry,1
CUST_00345,456.31,bank_declined,3,4,0.263,alt_method,0
CUST_00346,800.82,bank_declined,2,3,0.687,payment_link,0
CUST_00347,208.83,network_error,0,11,0.457,payment_link,0
CUST_00348,215.73,card_declined,0,6,0.616,alt_method,0
CUST_00349,374.37,insufficient_funds,3,14,0.595,retry,0
CUST_00350,560.73,network_error,0,6,0.714,retry,1
CUST_00351,852.97,insufficient_funds,0,12,0.362,payment_link,0
CUST_00352,2165.24,network_error,1,5,0.565,retry,0
CUST_00353,1320.98,network_error,0,9,0.37,alt_method,0
CUST_00354,585.26,bank_declined,1,4,0.575,payment_link,0
CUST_00355,655.1,network_error,0,0,0.567,retry,1
CUST_00356,298.26,insufficient_funds,2,11,0.618,payment_link,0
CUST_00357,655.36,insufficient_funds,3,14,0.509,retry,0
CUST_00358,527.99,network_error,1,2,0.605,retry,1
CUST_00359,861.07,card_declined,3,8,0.881,payment_link,0
CUST_00360,343.17,network_error,1,14,0.395,alt_method,0
CUST_00361,1007.75,insufficient_funds,1,13,0.371,payment_link,0
CUST_00362,2266.95,insufficient_funds,1,0,0.352,retry,1
CUST_00363,609.72,network_error,2,4,0.594,payment_link,0
CUST_00364,917.24,network_error,0,1,0.52,retry,1
CUST_00365,1155.3,bank_declined,1,3,0.766,retry,0
CUST_00366,482.52,card_declined,2,13,0.571,alt_method,0
CUST_00367,795.74,network_error,1,13,0.979,alt_method,0
CUST_00368,671.88,bank_declined,0,10,0.566,retry,0
CUST_00369,719.2,bank_declined,1,0,0.736,payment_link,0
CUST_00370,358.38,bank_declined,2,2,0.728,alt_method,0
CUST_00371,678.31,insufficient_funds,0,9,0.341,retry,1
CUST_00372,990.69,insufficient_funds,2,6,0.467,retry,0
CUST_00373,2123.7,insufficient_funds,0,9,0.674,alt_method,1
CUST_00374,1432.84,bank_declined,0,14,0.308,alt_method,0
CUST_00375,3723.97,bank_declined,3,2,0.693,retry,0
CUST_00376,360.01,network_error,3,3,0.417,retry,1
CUST_00377,1336.56,insufficient_funds,3,1,0.582,retry,0
CUST_00378,770.22,card_declined,0,2,0.385,payment_link,1
CUST_00379,3834.68,bank_declined,1,8,0.518,alt_method,0
CUST_00380,348.4,card_declined,2,2,0.494,payment_link,1
CUST_00381,339.75,bank_declined,2,10,0.393,payment_link,0
CUST_00382,411.78,insufficient_funds,2,4,0.845,retry,0
CUST_00383,121.62,insufficient_funds,3,1,0.885,retry,0
CUST_00384,436.77,bank_declined,0,3,0.685,retry,0
CUST_00385,362.38,network_error,3,11,0.655,alt_method,1
CUST_00386,750.18,insufficient_funds,1,12,0.401,payment_link,0
CUST_00387,874.28,bank_declined,0,6,0.523,retry,0
CUST_00388,2983.75,network_error,2,13,0.736,payment_link,0
CUST_00389,1422.74,bank_declined,3,6,0.575,alt_method,0
CUST_00390,419.25,insufficient_funds,3,11,0.593,payment_link,0
CUST_00391,324.17,card_declined,1,2,0.561,retry,0
CUST_00392,985.88,network_error,1,4,0.53,retry,0
CUST_00393,231.32,network_error,3,0,0.833,retry,0
CUST_00394,2878.91,bank_declined,1,9,0.363,alt_method,0
CUST_00395,1708.81,network_error,2,9,0.836,payment_link,0
CUST_00396,456.99,bank_declined,1,9,0.818,alt_method,0
CUST_00397,168.93,bank_declined,1,10,0.291,alt_method,0
CUST_00398,1964.71,network_error,3,0,0.623,alt_method,0
CUST_00399,606.9,insufficient_funds,3,4,0.595,retry,1
CUST_00400,1790.51,insufficient_funds,0,12,0.689,retry,0
CUST_00401,185.76,insufficient_funds,0,9,0.598,payment_link,1
CUST_00402,411.78,card_declined,3,8,0.871,retry,0
CUST_00403,667.94,bank_declined,1,0,0.532,alt_method,0
CUST_00404,690.62,bank_declined,1,0,0.709,alt_method,0
CUST_00405,464.03,bank_declined,0,3,0.435,payment_link,0
CUST_00406,1094.75,insufficient_funds,0,3,0.58,retry,0
CUST_00407,283.13,card_declined,0,1,0.654,retry,0
CUST_00408,593.54,bank_declined,2,8,0.663,retry,0
CUST_00409,732.33,bank_declined,2,13,0.603,alt_method,0
CUST_00410,1003.8,card_declined,0,8,0.424,retry,0
CUST_00411,1175.32,network_error,1,12,0.719,retry,0
CUST_00412,270.5,bank_declined,0,12,0.502,retry,0
CUST_00413,194.94,network_error,2,1,0.429,alt_method,1
CUST_00414,1848.52,insufficient_funds,1,13,0.163,payment_link,0
CUST_00415,867.7,insufficient_funds,2,8,0.677,alt_method,0
CUST_00416,365.48,card_declined,1,14,0.59,alt_method,0
CUST_00417,2300.59,card_declined,2,5,0.515,payment_link,0
CUST_00418,729.63,bank_declined,1,7,0.469,retry,0
CUST_00419,1708.61,bank_declined,1,9,0.578,retry,0
CUST_00420,702.06,insufficient_funds,1,12,0.509,payment_link,0
CUST_00421,3458.53,card_declined,1,14,0.558,alt_method,0
CUST_00422,2708.83,insufficient_funds,3,12,0.828,retry,1
CUST_00423,545.02,insufficient_funds,2,3,0.608,retry,1
CUST_00424,1447.01,network_error,2,1,0.295,payment_link,0
CUST_00425,1114.66,bank_declined,3,1,0.427,retry,0
CUST_00426,1988.04,bank_declined,1,8,0.857,payment_link,0
CUST_00427,307.37,insufficient_funds,1,0,0.656,retry,1
CUST_00428,1151.52,network_error,2,11,0.486,retry,0
CUST_00429,1551.13,bank_declined,3,6,0.247,retry,0
CUST_00430,162.88,network_error,1,10,0.618,payment_link,0
CUST_00431,258.11,bank_declined,1,13,0.648,payment_link,1
CUST_00432,130.14,card_declined,1,2,0.748,retry,0
CUST_00433,536.18,insufficient_funds,0,2,0.812,alt_method,0
CUST_00434,1180.9,network_error,3,1,0.694,retry,0
CUST_00435,2212.52,bank_declined,1,13,0.658,retry,0
CUST_00436,705.76,bank_declined,0,9,0.377,payment_link,0
CUST_00437,2447.67,insufficient_funds,3,5,0.457,retry,0
CUST_00438,220.5,card_declined,1,12,0.563,payment_link,0
CUST_00439,170.25,network_error,2,9,0.355,alt_method,1
CUST_00440,636.23,insufficient_funds,0,1,0.582,payment_link,0
CUST_00441,904.38,bank_declined,0,9,0.821,payment_link,1
CUST_00442,647.97,card_declined,1,14,0.664,payment_link,0
CUST_00443,127.24,network_error,1,3,0.352,retry,0
CUST_00444,619.37,bank_declined,0,9,0.598,payment_link,1
CUST_00445,234.26,insufficient_funds,2,8,0.613,retry,0
